Gaia16aua,14:12:46.776,-59:33:40.32
Gaia16aye,19:40:01.128,+30:07:53.4
Gaia16bnn,18:30:42.216,-37:04:17.04
Gaia17ahl,17:20:12.72,-43:54:01.8
Gaia17ajg,17:57:50.04,-31:33:18.36
Gaia17aqu,07:44:22.368,-28:26:36.24
Gaia17bbi,18:52:21.984,-15:43:04.08
Gaia17bbs,18:10:49.224,-22:36:55.8
Gaia17bdk,17:42:32.28,-34:06:13.32
Gaia17bej,18:17:01.056,-31:23:00.6
Gaia17bts,01:08:52.728,+73:53:46.32
Gaia17byk,17:15:11.424,-33:02:36.96
Gaia17bzb,17:42:12.696,-36:19:26.76
Gaia17bzc,17:37:35.208,-34:45:20.88
Gaia17cab,17:40:33.864,-26:59:00.6
Gaia17cad,17:40:30.792,-26:45:31.68
Gaia17cah,17:55:39.456,-31:18:30.96
Gaia17cbm,18:20:54.84,-12:52:29.28
Gaia17ccb,17:54:05.136,-32:33:28.08
Gaia17ccl,16:57:42.192,-21:54:36.72
Gaia17cda,17:40:15.024,-46:29:52.08
Gaia17cdh,17:18:32.304,-35:11:40.92
Gaia17chc,19:47:41.736,+04:53:15.36
Gaia17css,17:50:36.312,-40:55:43.68
Gaia17ctl,18:05:37.488,-33:36:38.88
Gaia17cvv,18:14:51.744,-21:03:47.88
Gaia17cwc,18:21:37.128,+01:08:24.36
Gaia17ddi,19:40:24.024,+28:06:04.32
Gaia17ddp,19:34:20.448,+28:12:05.04
Gaia18aip,18:36:16.632,+05:32:11.76
Gaia18ajt,17:48:31.992,-35:05:16.8
Gaia18aju,17:55:41.448,-29:13:12.36
Gaia18ajz,18:30:14.064,-08:13:31.08
Gaia18akb,18:02:30.912,-27:50:34.8
Gaia18akc,18:01:11.232,-29:05:21.48
Gaia18akk,18:09:53.544,-33:39:09.72
Gaia18atk,18:20:38.28,-18:39:41.4
Gaia18auo,18:12:50.808,-34:16:45.48
Gaia18beb,18:39:31.944,-16:55:55.2
Gaia18bmt,14:16:03.552,-56:54:48.24
Gaia18cbf,16:04:38.856,-41:06:17.28
Gaia18ccd,17:40:59.448,-46:39:13.68
Gaia18ccz,17:10:35.784,-31:44:32.28
Gaia18cdt,17:13:39.168,-30:03:16.92
Gaia18cdv,17:17:45.48,-26:41:40.2
Gaia18cdw,17:41:53.592,-33:10:26.76
Gaia18cdy,17:25:55.032,-30:19:38.64
Gaia18cdz,17:39:21.6,-33:21:47.16
Gaia18cea,17:45:26.616,-35:32:11.76
Gaia18ceb,17:39:23.256,-35:16:01.92
Gaia18cej,17:47:30.6,-32:31:27.84
Gaia18cel,18:13:19.2,-39:08:20.04
Gaia18ceo,17:49:07.08,-33:59:13.92
Gaia18cer,17:35:53.76,-27:31:58.08
Gaia18ces,17:57:03.792,-33:56:09.96
Gaia18cfb,17:44:37.176,-27:02:02.76
Gaia18cfc,17:54:17.544,-30:34:09.84
Gaia18cfd,17:56:17.184,-28:44:50.28
Gaia18cff,17:55:40.584,-32:21:28.8
Gaia18cfj,18:00:51.216,-31:53:34.08
Gaia18cfk,17:50:26.184,-29:37:01.56
Gaia18cfs,17:54:42.816,-22:49:13.44
Gaia18cfu,18:10:23.256,-29:51:52.56
Gaia18cfy,18:06:22.896,-29:38:27.96
Gaia18cfz,18:11:41.664,-30:16:26.4
Gaia18cgn,18:00:29.424,-26:53:21.84
Gaia18cgp,18:07:11.232,-24:58:56.28
Gaia18cgu,17:54:44.664,-17:18:41.4
Gaia18chm,18:04:03.816,-15:24:53.28
Gaia18cho,18:08:54.648,-27:10:11.28
Gaia18chq,18:05:45.384,-12:00:52.2
Gaia18cib,18:36:27.552,-16:34:41.88
Gaia18cik,18:33:31.176,-03:24:11.52
Gaia18cjh,19:01:21.216,-11:24:16.2
Gaia18cjk,18:55:09.12,-06:39:48.6
Gaia18clg,10:22:19.776,-64:33:01.44
Gaia18clr,19:42:16.296,+04:37:23.52
Gaia18cmk,20:28:35.856,+22:49:49.8
Gaia18cml,17:46:08.616,-33:30:27.36
Gaia18cmx,17:11:55.248,-30:48:16.56
Gaia18cnm,18:23:30.912,-07:19:57.72
Gaia18cny,17:25:55.128,-18:00:05.04
Gaia18csy,13:31:00.096,-59:43:12.72
Gaia18cta,05:33:05.328,-69:30:30.96
Gaia18cwd,17:17:04.344,-33:12:19.8
Gaia18cwh,17:37:39.312,-35:20:44.52
Gaia18cwu,17:33:30.384,-29:50:17.88
Gaia18cxr,17:45:41.376,-22:19:33.96
Gaia18cxs,18:04:18.624,-28:11:38.76
Gaia18cxt,17:51:58.008,-28:22:14.52
Gaia18dep,09:00:36.12,-56:32:48.84
Gaia18dif,13:10:12.384,-58:48:14.76
Gaia18dig,14:02:12.984,-63:10:47.64
Gaia18diq,14:49:38.664,-64:40:41.16
Gaia18djl,18:57:20.64,-44:21:04.68
Gaia18dma,19:41:25.8,+13:52:21.36
Gaia18dmf,19:41:56.256,+34:24:52.2
Gaia18dml,19:28:34.608,+23:08:02.04
Gaia18dvi,19:51:31.104,+28:11:13.2
Gaia18eaa,14:22:08.544,-56:08:28.68
Gaia18eaz,14:37:30.192,-67:16:43.68
Gaia19aen,13:22:26.136,-60:19:23.16
Gaia19amx,06:54:55.224,-19:20:32.28
Gaia19apm,17:39:22.344,-21:51:48.96
Gaia19apq,17:46:00.912,-24:45:33.12
Gaia19apr,17:29:30.552,-30:32:29.4
Gaia19aqb,18:20:21.12,-10:38:25.8
Gaia19aqh,13:38:06.48,-64:21:23.04
Gaia19aqn,17:39:08.28,-34:41:25.08
Gaia19aqq,16:23:28.968,-50:37:37.2
Gaia19aqw,12:09:01.392,-68:02:12.48
Gaia19aqy,18:51:09.288,-09:01:48.72
Gaia19asx,19:16:27.456,+26:39:12.6
Gaia19awc,18:15:36.144,-02:15:25.2
Gaia19axg,17:57:20.304,-20:34:20.28
Gaia19axw,17:53:27.408,-28:19:11.64
Gaia19ayh,17:30:34.032,-27:29:30.48
Gaia19ayo,17:40:52.008,-36:02:22.56
Gaia19ayp,17:43:24.576,-34:54:13.32
Gaia19ayr,17:18:06.72,-32:25:13.08
Gaia19baa,16:16:49.368,-39:20:47.04
Gaia19bat,15:56:01.296,-55:17:21.12
Gaia19baz,15:39:06.576,-53:17:36.24
Gaia19bcm,10:27:34.752,-71:42:03.6
Gaia19bej,09:19:53.976,-54:13:14.16
Gaia19bek,09:18:06.72,-54:26:56.04
Gaia19bfn,06:54:48.936,-23:49:13.8
Gaia19bft,17:21:27.48,-21:28:02.64
Gaia19bfu,18:06:56.856,-09:27:03.6
Gaia19bfv,18:19:03.768,-03:35:35.16
Gaia19bhg,17:33:13.272,-31:05:15.72
Gaia19bho,17:43:44.592,-33:55:04.08
Gaia19bht,17:55:35.208,-29:00:17.28
Gaia19bhw,17:49:17.544,-30:51:05.4
Gaia19bhx,18:07:59.064,-28:48:17.64
Gaia19bic,17:56:53.496,-32:41:12.48
Gaia19bif,18:12:48.96,-30:19:49.08
Gaia19bii,17:58:00.384,-33:42:47.52
Gaia19bir,15:38:34.416,-51:14:29.4
Gaia19bix,16:44:44.112,-53:04:25.68
Gaia19bjq,03:40:47.424,+57:57:20.88
Gaia19bld,12:37:32.544,-66:06:41.04
Gaia19bmu,16:16:02.952,-67:38:55.68
Gaia19brt,19:50:49.464,+34:38:14.28
Gaia19bsy,19:47:37.968,+14:17:35.52
