Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
KMT-2016-BLG-0001 17:54:14.09 -28:40:58.91 247549.19296 39.10 0.704 19.04 None
KMT-2016-BLG-0002 17:54:09.09 -28:25:06.13 247533.68206 6.22 1.000 17.52 None
KMT-2016-BLG-0003 17:54:03.78 -28:26:34.37 247569.58472 37.21 0.325 17.91 None
KMT-2016-BLG-0004 17:53:29.68 -28:40:30.68 247567.36853 25.68 0.256 18.93 None
KMT-2016-BLG-0005 17:53:06.41 -28:36:52.02 247522.98201 141.71 0.002 20.00 None
KMT-2016-BLG-0006 17:52:25.73 -28:15:17.86 247530.53089 20.34 0.013 20.00 None
KMT-2016-BLG-0007 17:51:38.16 -28:29:35.99 247511.35877 20.41 0.040 19.21 None
KMT-2016-BLG-0008 17:51:46.73 -28:22:26.36 247467.53629 16.06 0.712 18.34 None
KMT-2016-BLG-0009 17:59:03.27 -28:32:17.92 247505.67248 51.64 0.852 16.16 None
KMT-2016-BLG-0010 17:58:56.04 -28:33:47.92 247473.56272 27.13 0.700 19.24 None
KMT-2016-BLG-0011 17:58:40.84 -28:00:00.22 247509.20073 8.11 0.285 17.20 None
KMT-2016-BLG-0012 17:58:18.60 -28:45:11.99 247583.71465 6.68 0.587 19.48 None
KMT-2016-BLG-0013 17:58:24.28 -28:32:41.39 247488.28961 68.87 0.023 19.48 None
KMT-2016-BLG-0014 17:57:54.06 -28:52:42.10 247477.74672 136.61 0.055 17.97 None
KMT-2016-BLG-0015 17:57:12.71 -28:51:05.00 247567.64730 6.29 0.182 19.86 None
KMT-2016-BLG-0016 17:56:51.39 -28:27:44.50 247506.95824 199.96 0.007 18.07 None
KMT-2016-BLG-0017 17:57:02.50 -28:06:58.21 247494.25182 199.30 0.005 19.27 None
KMT-2016-BLG-0018 17:57:19.51 -28:04:14.30 247565.88324 20.81 0.297 17.72 None
KMT-2016-BLG-0019 17:56:20.02 -28:51:05.00 247569.79624 10.32 0.161 19.15 None
KMT-2016-BLG-0020 17:56:34.37 -27:59:31.99 247554.21529 24.75 0.201 19.63 None
KMT-2016-BLG-0021 17:55:44.17 -28:51:12.78 247506.81652 10.09 0.410 18.38 None
KMT-2016-BLG-0022 17:56:00.12 -28:36:17.10 247490.35578 29.00 0.087 17.18 None
KMT-2016-BLG-0023 17:55:42.81 -28:11:53.74 247485.28670 66.68 0.202 16.74 None
KMT-2016-BLG-0024 17:55:29.03 -28:56:36.38 247513.28281 11.64 0.054 15.92 None
KMT-2016-BLG-0025 17:55:14.49 -28:36:59.00 247562.49966 15.34 0.118 19.19 None
KMT-2016-BLG-0026 17:55:30.15 -28:23:25.55 247508.91933 7.50 0.634 18.07 None
KMT-2016-BLG-0027 17:54:39.18 -28:45:11.52 247563.87245 16.81 0.947 16.54 None
KMT-2016-BLG-0028 17:54:37.77 -28:37:25.21 247491.76446 4.49 0.006 18.03 None
KMT-2016-BLG-0029 17:55:03.14 -28:32:36.96 247503.42675 9.64 0.176 18.59 None
KMT-2016-BLG-0030 17:54:58.27 -28:27:26.86 247601.37291 41.66 0.276 19.84 None
KMT-2016-BLG-0031 17:54:56.94 -29:05:50.78 247526.62407 16.28 0.488 19.57 None
KMT-2016-BLG-0032 17:53:47.15 -29:06:37.80 247553.35654 10.29 0.201 19.84 None
KMT-2016-BLG-0033 17:53:36.31 -29:06:07.99 247490.15349 5.98 0.913 18.09 None
KMT-2016-BLG-0034 17:53:02.10 -29:10:52.21 247488.97221 12.58 0.142 18.45 None
KMT-2016-BLG-0035 17:52:21.51 -29:09:28.58 247613.39229 52.28 0.357 19.04 None
KMT-2016-BLG-0036 17:51:44.22 -29:10:25.50 247563.06548 27.23 0.233 20.00 None
KMT-2016-BLG-0037 17:59:43.76 -27:38:43.40 247586.94053 13.54 0.244 19.12 None
KMT-2016-BLG-0038 17:59:57.80 -27:29:59.60 247567.76227 43.48 0.208 19.64 None
KMT-2016-BLG-0039 17:59:14.92 -27:51:55.51 247546.57131 90.76 0.036 19.66 None
KMT-2016-BLG-0040 17:58:36.09 -27:32:16.19 247647.70077 119.39 0.148 18.06 None
KMT-2016-BLG-0041 17:58:12.89 -27:41:53.30 247583.53027 13.26 0.303 18.64 None
KMT-2016-BLG-0042 18:05:34.08 -27:39:38.81 247492.73604 15.88 0.145 20.00 None
KMT-2016-BLG-0043 18:04:31.07 -27:14:50.71 247534.24150 16.53 0.356 18.23 None
KMT-2016-BLG-0044 18:04:10.25 -27:06:17.39 247569.56051 199.38 0.018 19.31 None
KMT-2016-BLG-0045 18:03:45.83 -27:00:37.80 247556.84973 7.03 0.478 18.63 None
KMT-2016-BLG-0046 18:03:35.75 -26:56:35.41 247626.23531 33.88 0.789 16.98 None
KMT-2016-BLG-0047 18:02:34.88 -27:51:04.79 247650.45644 30.48 0.506 19.50 None
KMT-2016-BLG-0048 18:02:31.75 -27:31:46.49 247491.50142 55.49 0.021 19.44 None
KMT-2016-BLG-0049 18:02:27.50 -27:26:06.11 247510.86042 170.12 0.040 19.59 None
KMT-2016-BLG-0050 18:05:16.98 -28:13:43.21 247568.38597 14.18 0.695 18.57 None
