Name  RA   Dec  t0[HJD]  tE[days]    u0    Ibase    Ibase_err
OGLE-1998-BUL-01 17:53:40.36 -30:10:20.1 2450887.185 39.770 0.306 17.180 None
OGLE-1998-BUL-02 18:00:40.20 -29:19:35.2 2450890.374 58.644 0.371 18.042 None
OGLE-1998-BUL-03 18:01:18.12 -29:05:49.9 2450901.185 45.860 0.587 17.034 None
OGLE-1998-BUL-04 18:02:29.02 -28:33:12.5 2450913.623 17.332 0.51 17.227 None
OGLE-1998-BUL-05 17:48:42.80 -35:23:08.5 2450914.155 19.154 0.152 18.337 None
OGLE-1998-BUL-06 17:54:49.35 -29:20:25.0 2450915.884 16.337 0.699 15.593 None
OGLE-1998-BUL-07 18:05:02.33 -28:55:17.9 2450917.097 26.098 0.289 17.483 None
OGLE-1998-BUL-08 17:53:36.63 -29:31:21.2 2450923.572 40.187 0.617 17.354 None
OGLE-1998-BUL-09 17:47:23.43 -35:17:40.9 2450926.608 31.341 0.625 17.259 None
OGLE-1998-BUL-10 17:52:19.07 -32:48:20.8 2450927.471 49.282 0.258 18.933 None
OGLE-1998-BUL-11 18:02:00.24 -28:57:27.8 2450930.841 10.171 0.38 17.674 None
OGLE-1998-BUL-12 17:54:41.54 -29:46:03.5 2450959.220 34.778 0.81 12.932 None
OGLE-1998-BUL-13 17:56:35.30 -30:56:33.4 2450944.952 51.046 0.323 17.002 None
OGLE-1998-BUL-14 17:53:09.33 -30:01:12.1 2450956.002 38.257 0.069 16.501 None
OGLE-1998-BUL-15 18:07:20.83 -27:34:10.8 2450944.358 18.150 0.072 18.641 None
OGLE-1998-BUL-16 17:49:52.76 -29:45:27.2 2450934.260 15.700 0.429 17.821 None
OGLE-1998-BUL-17 17:57:47.60 -29:03:54.3 2450949.426 7.559 0.27 16.349 None
OGLE-1998-BUL-18 17:54:21.79 -29:53:24.0 2450971.027 6.959 0.244 15.464 None
OGLE-1998-BUL-19 18:02:40.12 -28:56:28.1 2450965.927 27.877 0.249 18.863 None
OGLE-1998-BUL-20 17:49:49.15 -29:49:10.3 2450967.175 9.488 0.572 16.819 None
OGLE-1998-BUL-21 17:58:33.77 -28:54:28.7 2450992.449 25.647 0.407 15.553 None
OGLE-1998-BUL-22 18:01:09.74 -29:56:18.9 2450990.462 6.941 0.155 15.972 None
OGLE-1998-BUL-23 18:04:33.63 -28:07:32.2 2450997.510 16.297 0.574 15.350 None
OGLE-1998-BUL-24 17:46:47.64 -23:24:02.0 2450995.344 13.816 0.875 15.992 None
OGLE-1998-BUL-25 17:49:40.00 -30:10:12.0 2451041.426 32.886 0.489 17.725 None
OGLE-1998-BUL-26 17:54:13.04 -29:35:14.1 2451039.453 21.494 0.702 16.742 None
OGLE-1998-BUL-27 17:53:38.65 -29:33:42.3 2451048.612 23.265 0.836 14.863 None
OGLE-1998-BUL-28 17:53:54.15 -29:36:40.6 2451056.406 95.913 0.146 19.247 None
OGLE-1998-BUL-29 17:49:22.49 -29:36:52.9 2451042.258 14.466 0.0 19.212 None
OGLE-1998-BUL-30 17:49:55.59 -29:48:03.3 2451043.474 12.864 0.273 18.799 None
OGLE-1998-BUL-31 17:54:43.94 -29:51:18.2 2451061.474 30.785 0.699 16.575 None
OGLE-1998-BUL-32 18:09:10.54 -27:06:42.0 2451028.081 33.041 None 18.285 None
OGLE-1998-BUL-33 18:10:59.47 -26:13:16.3 2451043.215 18.308 0.292 18.468 None
OGLE-1998-BUL-34 17:56:56.81 -31:11:51.0 2451073.877 16.233 0.51 16.356 None
OGLE-1998-BUL-35 17:56:25.81 -30:26:56.4 2451059.522 8.229 0.099 18.564 None
OGLE-1998-BUL-36 18:04:02.87 -28:09:22.4 2451083.895 11.646 0.326 17.261 None
OGLE-1998-BUL-37 18:04:42.38 -28:59:38.7 2451082.506 18.706 0.397 18.577 None
OGLE-1998-BUL-38 17:55:51.91 -30:02:31.4 2451095.177 17.069 0.692 14.705 None
OGLE-1998-BUL-39 17:54:44.69 -29:55:42.8 2451129.326 37.784 0.066 16.856 None
OGLE-1998-BUL-40 17:52:31.53 -32:50:53.0 2451167.389 96.515 0.0 17.941 None
OGLE-1998-BUL-41 18:00:39.38 -28:55:14.6 2451120.742 28.588 0.73 15.474 None
OGLE-1999-BUL-01 17:56:04.05 -30:08:53.0 2451171.781 87.707 0.671 16.969 None
OGLE-1999-CAR-01 11:07:26.72 -61:22:30.6 2451284.207 89.889 0.332 17.965 None
