Name RA Dec t0[HJD] tE[days] u0 Ibase Ibase_err
Gaia24dtt 15:10:58.3656 -55:25:56.784 None None None 18.00 None
Gaia24dqj 23:36:54.9336 +55:01:33.204 None None None 15.69 None
Gaia24dnp 19:55:11.244 +25:17:24.18 None None None 15.77 None
Gaia24dmu 19:03:01.9584 +18:44:10.284 None None None 15.97 None
Gaia24dme 19:17:24.0816 +12:20:03.66 None None None 15.78 None
Gaia24dmc 06:57:17.9784 -14:05:26.592 None None None 11.22 None
Gaia24dlw 19:23:04.824 +08:21:33.228 None None None 17.29 None
Gaia24dky 07:02:48.3456 -02:15:16.164 None None None 16.96 None
Gaia24dks 19:06:57.3072 -02:34:20.892 None None None 15.96 None
Gaia24dis 18:54:54.7008 -18:09:10.44 None None None 16.10 None
Gaia24dfv 20:15:22.8936 +36:30:45.468 None None None 14.86 None
Gaia24dfq 18:43:38.5704 -13:21:31.5 None None None 17.01 None
Gaia24dfm 08:14:54.7104 -46:26:28.68 None None None 15.44 None
Gaia24dfl 19:44:36.7464 +38:23:42.216 None None None 16.37 None
Gaia24dfe 16:34:02.736 -52:31:46.128 None None None 19.96 None
Gaia24dey 20:20:02.1888 +35:47:00.6 None None None 15.25 None
Gaia24dex 18:45:21.4752 -14:01:28.164 None None None 15.35 None
Gaia24der 19:09:04.3056 -15:35:29.76 None None None 15.78 None
Gaia24dec 19:14:54.7728 -20:14:19.068 None None None 16.18 None
Gaia24ddd 14:31:22.0848 -60:14:10.428 None None None 15.56 None
Gaia24dcs 02:04:34.3464 +60:34:50.34 None None None 15.27 None
Gaia24dcd 00:45:28.2696 +63:49:40.944 None None None 15.77 None
Gaia24dcc 12:57:59.0184 -63:36:53.784 None None None 14.91 None
Gaia24dbi 11:39:01.6728 -59:27:23.508 None None None 16.00 None
Gaia24dbe 23:07:55.7088 +52:55:43.212 None None None 15.80 None
Gaia24dbd 11:45:02.3832 -68:05:28.32 None None None 16.04 None
Gaia24cxo 19:58:09.0432 +30:08:40.092 None None None 16.33 None
Gaia24cvd 18:47:03.3 +05:48:06.588 None None None 17.97 None
Gaia24ctg 18:17:04.6008 -06:47:55.968 None None None 20.38 None
Gaia24csm 18:22:12.1584 -19:40:45.984 None None None 19.36 None
Gaia24cqw 17:42:11.208 -27:48:08.676 None None None 18.82 None
Gaia24cqv 17:39:19.6848 -27:30:45.648 None None None 15.88 None
